| | |       hazm    |   space character 160 -> 32   |
|ك|ک|      hazm    |
|ي|ی|      hazm    |
|“|"|       hazm    |
|”|"|       hazm    |
|0|۰|       hazm    |
|1|۱|       hazm    |
|2|۲|       hazm    |
|3|۳|       hazm    |
|4|۴|       hazm    |
|5|۵|       hazm    |
|6|۶|       hazm    |
|7|۷|       hazm    |
|8|۸|       hazm    |
|9|۹|       hazm    |
|%|٪|       hazm    |
